"pha","H","e","a","q","i","moid"
N,27.37,0.2687,1.306,0.955,3.44,0.0104
N,30.32,0.1314,0.8873,0.771,2.37,0.000301
N,28.66,0.3712,1.482,0.932,0.48,0.00131
N,22.76,0.6870,1.598,0.500,18.36,0.0309
N,21.90,0.3322,1.811,1.209,24.00,0.302
N,25.58,0.3575,0.9297,0.597,19.77,0.0696
N,24.53,0.4246,1.268,0.729,33.27,0.0223
N,24.81,0.6236,1.975,0.743,2.83,0.00676
N,25.57,0.3799,1.43,0.887,4.91,0.0284
N,24.91,0.5435,1.896,0.866,5.21,0.0438
N,22.78,0.5497,1.972,0.888,4.88,0.044
N,23.77,0.3857,0.9178,0.564,14.57,0.162
N,26.81,0.4000,0.7324,0.439,10.57,0.00552
N,19.89,0.4859,2.335,1.200,45.18,0.365
N,24.87,0.6548,2.828,0.976,2.49,0.00541
N,26.42,0.5927,2.466,1.004,3.49,0.0157
N,25.78,0.4448,1.881,1.044,6.23,0.0775
N,25.27,0.5468,2.359,1.069,4.92,0.0777
N,25.37,0.4910,2.11,1.074,10.13,0.0847
N,27.42,0.6010,2.051,0.818,5.16,0.00122
N,25.27,0.5346,2.151,1.001,1.78,0.0226
N,26.67,0.3713,1.58,0.994,9.15,0.00633
N,24.54,0.3217,1.416,0.960,17.27,0.0233
N,26.63,0.2330,1.211,0.929,14.70,0.00118
N,24.25,0.4516,1.043,0.572,19.07,0.00132
N,28.02,0.4834,1.62,0.837,0.38,0.00492
N,27.94,0.4098,1.454,0.858,18.79,0.00858
N,25.75,0.4766,0.9427,0.493,13.13,0.0297
N,24.57,0.3985,0.8807,0.530,25.76,0.0634
N,29.56,0.2718,1.189,0.866,16.96,7.09e-05
N,23.29,0.6591,2.009,0.685,7.62,0.014
N,27.20,0.2911,0.78,0.553,1.30,0.00107
N,23.73,0.7814,1.673,0.366,7.01,0.0306
N,23.40,0.6756,3.244,1.052,12.96,0.127
N,28.08,0.5392,2.165,0.998,0.28,0.0125
N,25.73,0.4209,1.721,0.997,12.76,0.0133
N,25.18,0.5827,2.399,1.001,2.74,0.0409
N,24.83,0.1634,1.235,1.033,21.55,0.048
N,23.72,0.7102,1.494,0.433,35.83,0.0947
N,27.10,0.6428,2.235,0.798,0.40,0.00504
N,22.37,0.2686,1.521,1.113,16.56,0.264
N,24.17,0.1483,1.153,0.982,19.36,0.0411
N,24.50,0.2030,1.409,1.123,20.53,0.139
N,25.59,0.2272,0.9946,0.769,10.27,0.023
N,28.05,0.3102,1.306,0.901,4.47,0.0153
N,24.81,0.1086,1.239,1.105,9.11,0.163
N,25.16,0.6543,2.201,0.761,3.68,0.00223
N,24.81,0.2936,1.313,0.927,16.66,0.0401
N,22.37,0.5912,2.326,0.951,5.93,0.0262
N,25.87,0.2704,1.372,1.001,6.58,0.0358
N,23.09,0.2513,1.218,0.912,24.96,0.0441
N,26.10,0.3827,1.78,1.099,7.23,0.112
N,24.14,0.4182,1.665,0.969,30.77,0.216
N,24.82,0.4990,2.031,1.017,12.66,0.026
N,25.25,0.2214,1.156,0.900,20.60,0.0707
N,25.55,0.4915,1.688,0.858,1.52,0.00574
N,25.99,0.2496,1.263,0.948,3.94,0.0378
Y,21.60,0.8756,2.046,0.254,6.77,0.0356
N,24.89,0.4697,1.608,0.853,14.56,0.0451
N,26.38,0.9226,2.647,0.205,15.04,0.00378
N,27.93,0.3148,1.343,0.920,3.60,0.0011
N,21.33,0.4020,2.009,1.201,38.22,0.354
N,24.49,0.5507,1.507,0.677,25.93,0.0284
N,24.77,0.4284,0.8126,0.465,2.50,0.0223
N,26.18,0.6762,2.704,0.875,1.87,0.0033
N,27.75,0.1490,1.162,0.989,14.76,0.00628
N,24.98,0.5629,1.503,0.657,8.97,0.00472
N,25.47,0.2129,1.18,0.929,8.23,0.0447
N,22.66,0.4959,2.433,1.226,12.63,0.25
N,25.74,0.1809,1.326,1.086,3.89,0.0963
Y,19.77,0.4381,1.572,0.883,12.61,0.049
N,27.25,0.5954,1.557,0.630,8.90,2.93e-06
N,24.49,0.6309,1.989,0.734,5.16,0.057
N,27.85,0.1269,1.148,1.002,1.22,0.00653
N,27.70,0.6020,1.563,0.622,0.77,0.00582
N,23.20,0.6706,1.978,0.652,7.89,0.0957
N,28.51,0.2706,1.236,0.901,3.93,0.00438
N,26.52,0.3382,1.479,0.979,3.05,0.0304
N,25.08,0.1532,1.286,1.089,12.64,0.115
N,25.15,0.5317,2.106,0.986,3.43,0.0044
N,29.38,0.5376,1.848,0.855,2.59,0.00102
N,28.00,0.5033,1.773,0.881,5.46,0.00914
N,25.43,0.7103,1.219,0.353,9.49,0.0265
N,24.66,0.1982,1.094,0.877,3.89,0.035
N,23.28,0.6444,1.655,0.588,4.60,0.0672
N,25.50,0.3327,1.278,0.853,2.40,0.00904
N,25.17,0.0259,1.102,1.073,14.71,0.0846
N,25.43,0.3295,1.322,0.886,1.90,0.0169
N,23.65,0.3333,1.677,1.118,11.34,0.211
N,22.45,0.6209,2.787,1.057,6.16,0.0544
N,30.17,0.2898,1.351,0.960,2.92,0.00111
N,23.31,0.4443,1.525,0.847,8.77,0.0183
N,24.78,0.3305,1.263,0.846,28.82,0.00297
N,27.38,0.2223,1.28,0.995,9.54,0.0126
N,27.00,0.2111,1.318,1.040,2.64,0.0485
N,26.26,0.4127,1.816,1.066,2.19,0.0796
N,23.90,0.3140,1.105,0.758,16.55,0.114
N,24.26,0.4120,1.702,1.001,35.07,0.044
N,24.00,0.4934,1.164,0.590,40.33,0.0443
N,25.03,0.5448,2.014,0.917,2.14,0.0202
N,24.41,0.6217,2.536,0.959,3.17,0.00359
N,27.28,0.0907,1.01,0.918,1.10,0.0144
N,21.83,0.3230,1.811,1.226,14.90,0.338
N,23.46,0.1835,1.537,1.255,18.48,0.325
N,25.21,0.4198,1.913,1.110,3.63,0.115
N,21.95,0.2968,1.015,0.714,9.64,0.141
N,23.82,0.1780,1.357,1.116,4.46,0.121
N,27.43,0.2342,0.962,0.737,3.98,0.00553
N,22.61,0.2271,1.348,1.042,24.69,0.18
N,27.10,0.2714,0.7994,0.582,8.21,0.00126
N,25.14,0.1833,1.249,1.020,14.63,0.0347
N,22.38,0.2664,1.207,0.885,11.52,0.121
N,22.14,0.1323,1.256,1.090,29.48,0.0782
Y,21.67,0.6530,2.441,0.847,12.28,0.0117
N,25.12,0.2661,1.235,0.907,7.59,0.00598
N,24.56,0.4600,1.405,0.759,4.46,0.0234
N,29.45,0.0600,1.02,0.958,4.31,0.0031
N,25.76,0.4956,1.884,0.950,2.04,0.0297
N,22.93,0.4865,2.344,1.204,8.92,0.238
N,26.24,0.5796,2.505,1.053,5.00,0.0719
N,25.06,0.3626,1.626,1.036,10.96,0.11
N,22.73,0.2303,1.578,1.215,28.18,0.23
N,21.67,0.7437,2.524,0.647,9.58,0.153
N,27.46,0.1780,0.9724,0.799,28.35,0.0122
N,27.66,0.1621,1.13,0.947,6.30,0.00355
N,25.24,0.3653,1.587,1.007,6.30,0.0197
N,26.95,0.3736,1.625,1.018,0.81,0.0301
N,28.10,0.1780,1.135,0.933,12.71,0.00947
N,26.88,0.4776,1.868,0.976,5.05,0.0256
N,24.25,0.6198,2.716,1.033,22.74,0.0563
N,25.00,0.4443,1.391,0.773,6.57,0.00398
N,23.22,0.6999,2.146,0.644,10.24,0.0575
N,23.70,0.4709,1.927,1.019,5.32,0.0895
N,24.94,0.4341,1.797,1.017,6.95,0.0262
N,26.11,0.4813,1.896,0.983,1.82,0.00101
N,27.50,0.4453,1.81,1.004,6.22,0.0202
N,26.12,0.6990,2.235,0.673,1.25,0.0179
N,23.73,0.4936,2.316,1.173,3.83,0.189
N,27.15,0.6792,2.609,0.837,0.58,0.00173
N,25.84,0.1812,1.167,0.956,7.53,0.0212
N,25.67,0.4736,1.849,0.973,4.36,0.0179
N,26.95,0.3475,1.149,0.750,14.16,0.00315
N,23.75,0.6982,1.672,0.505,2.71,0.0348
N,25.57,0.5059,1.837,0.908,2.30,0.00175
N,22.77,0.5414,1.951,0.895,3.80,0.00984
N,26.04,0.4064,1.209,0.717,15.09,0.036
N,23.53,0.2704,0.9079,0.662,12.75,0.0953
N,23.90,0.4556,1.41,0.768,5.72,0.0184
N,26.23,0.8403,1.578,0.252,26.25,0.0206
N,27.52,0.5072,1.967,0.969,5.30,0.00936
N,26.40,0.1095,0.9575,0.853,3.32,0.019
N,28.32,0.0702,1.066,0.991,3.43,0.0225
N,24.20,0.4243,1.559,0.897,9.03,0.0305
N,27.23,0.5168,1.383,0.668,11.28,0.00308
N,23.93,0.4870,2.113,1.084,12.21,0.144
N,24.70,0.3946,1.834,1.110,11.63,0.119
N,23.01,0.0777,1.206,1.113,20.04,0.169
N,24.43,0.5678,2.31,0.998,26.94,0.0841
N,24.57,0.6317,2.542,0.936,17.57,0.0173
N,25.39,0.4132,1.794,1.053,4.84,0.0561
N,20.80,0.4584,1.769,0.958,16.41,0.056
N,29.06,0.2852,0.8897,0.636,0.21,0.00234
N,26.33,0.1652,1.012,0.845,5.49,0.0511
N,26.93,0.2583,1.381,1.024,3.22,0.0397
N,26.59,0.1183,0.9224,0.813,13.98,0.0389
N,28.82,0.1783,1.081,0.889,19.22,0.00216
N,27.20,0.1242,0.9852,0.863,6.54,0.00538
N,24.67,0.2098,1.01,0.798,3.91,0.051
N,25.69,0.2179,1.302,1.018,20.03,0.0445
N,26.53,0.1446,1.173,1.003,8.08,0.064
N,24.70,0.5203,1.442,0.692,2.81,0.0382
N,27.54,0.5298,1.086,0.511,0.91,0.00476
N,24.67,0.3153,1.491,1.021,4.54,0.0153
N,25.41,0.0495,1.089,1.035,6.94,0.0258
N,26.43,0.1280,0.971,0.847,2.70,0.00956
N,24.58,0.2307,1.51,1.161,2.92,0.164
N,24.32,0.1218,1.247,1.095,29.42,0.133
N,25.90,0.4594,1.966,1.063,7.54,0.0995
N,25.28,0.1568,1.099,0.927,4.11,0.0162
N,24.66,0.4093,1.811,1.070,22.62,0.0838
N,29.14,0.5394,2.108,0.971,7.80,0.00107
N,20.75,0.3606,1.849,1.182,33.63,0.277
N,27.49,0.7028,1.574,0.468,32.46,0.00149
N,22.62,0.6538,2.097,0.726,4.63,0.0582
N,21.33,0.5037,1.502,0.745,36.04,0.148
N,22.04,0.1820,1.359,1.112,28.19,0.176
N,22.55,0.2509,1.196,0.896,15.74,0.0899
N,18.99,0.5706,2.468,1.060,53.99,0.198
N,22.87,0.1932,1.545,1.246,9.49,0.271
N,23.82,0.3677,1.61,1.018,1.95,0.0358
N,20.49,0.6786,2.304,0.741,13.31,0.199
N,20.40,0.6510,2.362,0.824,5.63,0.0636
N,21.24,0.5493,1.934,0.872,13.20,0.123
N,25.12,0.6444,1.292,0.460,5.41,0.0141
N,22.75,0.7315,3.437,0.923,8.66,0.0166
N,22.03,0.3789,1.688,1.048,19.15,0.185
N,28.26,0.5454,1.958,0.890,0.69,0.00288
N,22.32,0.4598,1.876,1.013,2.97,0.0323
N,23.40,0.5265,2.304,1.091,3.05,0.0874
N,18.78,0.3322,1.018,0.680,26.89,0.0629
N,25.47,0.0798,1.115,1.026,10.36,0.0626
N,20.58,0.6414,2.633,0.944,11.02,0.0813
N,25.95,0.1704,1.185,0.983,20.16,0.0229
N,21.65,0.4045,1.376,0.819,5.08,0.0784
N,24.55,0.2507,1.058,0.793,15.78,0.0975
N,26.34,0.2902,1.125,0.799,6.89,0.00564
N,25.99,0.5996,1.75,0.701,5.49,0.00556
N,23.63,0.3358,1.551,1.030,28.21,0.0781
N,24.48,0.2083,0.9883,0.783,22.08,0.0147
N,28.54,0.6128,2.441,0.945,2.92,0.00141
N,29.27,0.3797,0.8979,0.557,6.95,0.000441
N,28.09,0.0910,1.025,0.932,0.67,0.00011
N,27.26,0.4783,1.942,1.013,6.93,0.0204
N,23.20,0.3469,0.8899,0.581,27.58,0.173
N,21.84,0.3882,1.543,0.944,14.04,0.0597
N,22.57,0.6413,2.22,0.796,9.99,0.0371
N,24.34,0.2528,1.123,0.839,4.01,0.0246
N,25.72,0.2037,1.236,0.984,8.86,0.072
N,23.81,0.5735,0.8487,0.362,13.65,0.0701
N,27.25,0.1231,1.126,0.987,4.19,0.00177
N,23.39,0.6094,2.429,0.949,2.52,0.0296
N,25.22,0.3351,1.563,1.039,8.22,0.0805
N,26.80,0.2424,1.265,0.958,10.31,0.0209
N,24.87,0.2055,1.156,0.918,18.17,0.042
N,27.27,0.2994,1.375,0.963,5.14,0.0137
N,26.32,0.2759,1.364,0.988,7.92,0.0208
N,21.21,0.2855,1.628,1.163,29.21,0.21
N,22.48,0.1284,1.476,1.286,24.45,0.295
N,25.65,0.4977,1.598,0.803,1.89,0.0206
N,26.84,0.3439,1.422,0.933,3.63,0.0112
N,23.62,0.6108,2.138,0.832,6.47,0.0315
N,24.46,0.3663,1.55,0.982,11.05,0.0545
N,22.07,0.3593,1.955,1.253,14.60,0.336
N,23.91,0.3321,1.256,0.839,34.97,0.0638
N,23.43,0.2230,1.46,1.134,19.11,0.2
N,25.04,0.2696,0.99,0.723,9.56,0.0364
N,23.97,0.1750,1.218,1.005,19.54,0.024
N,22.55,0.4003,1.569,0.941,17.82,0.0641
N,28.56,0.3478,1.077,0.703,8.21,0.00461
N,30.76,0.2029,1.166,0.930,0.45,0.000584
N,26.59,0.3442,1.038,0.681,8.59,0.00215
N,28.66,0.5766,1.838,0.778,5.97,0.00274
N,26.59,0.5578,2.026,0.896,2.27,0.00924
N,24.38,0.5976,1.478,0.595,29.94,0.0114
N,26.61,0.2948,1.411,0.995,2.23,0.00276
N,26.79,0.5361,1.813,0.841,8.39,0.0107
N,24.59,0.2384,0.8753,0.667,21.17,0.0194
N,25.26,0.2250,1.358,1.053,18.92,0.088
N,26.36,0.1701,1.194,0.991,18.19,0.0326
N,25.56,0.5635,2.242,0.979,2.00,0.0327
N,28.61,0.3416,1.524,1.004,2.43,0.0108
N,25.61,0.0486,1.107,1.053,14.76,0.0769
N,27.28,0.3355,1.097,0.729,15.99,0.00518
N,26.77,0.3118,1.431,0.985,5.12,0.00163
N,27.68,0.2419,0.8777,0.665,18.57,0.00461
N,27.53,0.3126,1.242,0.854,2.27,0.0144
N,23.47,0.5777,1.321,0.558,17.85,0.165
N,22.55,0.3550,1.582,1.021,34.10,0.0916
N,26.40,0.4264,1.598,0.917,9.06,0.0422
N,26.80,0.5460,2.013,0.914,4.57,0.000197
N,23.57,0.7588,2.215,0.534,8.26,0.142
N,22.54,0.3686,1.179,0.745,44.30,0.104
N,21.90,0.3300,0.8065,0.540,24.96,0.0187
N,25.75,0.1333,0.8943,0.775,5.17,0.00886
N,22.14,0.6576,1.491,0.510,8.87,0.0281
N,24.61,0.2166,1.271,0.996,8.91,0.00115
N,24.06,0.1937,0.9945,0.802,17.68,0.00844
N,21.05,0.0753,1.126,1.041,34.53,0.0613
N,26.32,0.3064,1.4,0.971,8.88,0.0329
N,18.05,0.5757,2.503,1.062,16.15,0.0784
N,18.77,0.7990,3.371,0.677,13.26,0.132
N,22.67,0.2018,1.038,0.828,18.21,0.000114
N,21.65,0.2826,1.662,1.192,10.90,0.207
N,22.48,0.5830,2.306,0.962,17.81,0.0436
N,24.05,0.4922,2.049,1.040,7.39,0.0811
N,28.75,0.5474,1.163,0.527,1.92,8.07e-05
N,23.83,0.7699,2.472,0.569,18.11,0.00862
N,24.72,0.4417,1.476,0.824,18.44,0.01
N,26.60,0.3978,1.682,1.013,5.92,0.0252
N,27.35,0.2355,1.299,0.993,7.38,0.0116
N,27.92,0.4791,1.754,0.914,7.84,0.00565
N,25.09,0.1290,1.187,1.034,22.44,0.0399
N,26.24,0.2054,1.186,0.942,13.41,0.000908
N,24.80,0.6225,2.003,0.756,4.96,0.0272
N,27.65,0.4967,1.653,0.832,11.40,0.014
N,23.77,0.6793,2.203,0.707,6.83,0.0147
N,27.23,0.1583,1.01,0.851,15.11,0.00207
N,23.36,0.6347,2.854,1.043,28.25,0.115
N,25.25,0.6045,1.95,0.771,5.45,0.00569
N,26.00,0.4358,1.548,0.873,15.49,0.00575
N,27.16,0.4267,1.606,0.921,0.74,0.000445
N,22.29,0.4815,2.248,1.166,3.86,0.154
N,25.94,0.4612,1.709,0.921,3.56,0.0145
N,24.00,0.5310,1.957,0.918,4.50,0.0166
N,26.50,0.1698,1.23,1.021,13.81,0.0799
N,27.53,0.3882,1.627,0.995,7.35,0.00744
N,26.12,0.4966,1.693,0.852,1.36,0.00824
N,26.88,0.3773,1.614,1.005,4.46,0.0309
N,27.68,0.5447,0.9594,0.437,19.08,0.00155
N,27.30,0.7415,1.663,0.430,0.96,0.00346
N,25.79,0.3606,1.607,1.028,3.26,0.069
N,23.91,0.3169,0.9176,0.627,10.96,0.116
N,23.29,0.7195,1.704,0.478,8.37,0.0322
N,26.80,0.5858,1.976,0.819,3.58,0.00289
N,26.85,0.3039,1.174,0.817,6.33,0.0131
N,26.95,0.4612,0.7181,0.387,7.94,0.00295
N,26.54,0.2366,0.8854,0.676,24.33,0.0198
N,28.39,0.4963,1.64,0.826,7.48,0.000179
N,27.49,0.5043,2,0.991,7.86,0.0117
N,25.13,0.2133,1.139,0.896,15.14,0.0399
N,27.10,0.6434,1.263,0.450,4.84,0.0051
N,22.01,0.4989,2.269,1.137,4.57,0.144
N,24.20,0.3863,1.632,1.002,3.95,0.026
N,26.34,0.1153,1.2,1.061,20.62,0.0676
N,26.84,0.2416,1.337,1.014,1.94,0.0245
N,25.23,0.1971,1.303,1.046,12.77,0.0732
N,25.95,0.4855,1.917,0.986,0.87,0.015
N,25.74,0.3881,0.8946,0.547,1.47,0.0017
N,27.93,0.5755,1.981,0.841,0.28,0.0027
N,26.24,0.2076,1.42,1.125,11.61,0.134
N,27.72,0.2589,1.291,0.956,6.57,0.0169
N,26.71,0.5916,2.353,0.961,3.54,0.00344
N,28.08,0.4507,0.918,0.504,0.85,0.00228
N,23.32,0.4377,0.8352,0.470,24.26,0.0956
N,23.73,0.3597,1.622,1.039,7.18,0.117
N,21.10,0.6596,2.9,0.987,12.76,0.0567
N,27.40,0.7245,1.382,0.381,9.84,0.000232
N,24.02,0.5784,2.486,1.048,3.44,0.0495
N,29.05,0.6853,1.979,0.623,1.48,0.000803
N,23.69,0.2445,1.416,1.070,21.38,0.127
N,24.11,0.2410,1.456,1.105,22.59,0.114
N,26.40,0.5237,2.125,1.012,0.88,0.0151
N,26.57,0.4564,1.953,1.062,0.36,0.0652
N,20.44,0.3189,1.561,1.063,17.99,0.254
N,25.79,0.4124,1.519,0.893,8.33,0.00752
N,25.27,0.1540,1.102,0.932,6.60,0.0291
N,28.29,0.2273,1.114,0.861,4.94,0.00222
Y,20.95,0.4407,1.753,0.980,35.39,0.0356
N,23.98,0.3109,1.518,1.046,22.05,0.228
N,23.37,0.5629,2.17,0.949,7.74,0.101
N,25.56,0.2929,1.412,0.999,9.17,0.013
N,22.68,0.5586,1.608,0.710,26.94,0.0616
N,21.75,0.6310,3.229,1.191,27.13,0.189
N,23.93,0.2688,1.001,0.732,11.00,0.0558
N,22.74,0.6726,2.673,0.875,12.64,0.0127
N,22.34,0.2290,1.682,1.297,6.76,0.323
N,26.06,0.1857,1.117,0.910,5.57,0.00392
N,26.88,0.3216,1.473,0.999,3.58,0.00368
Y,20.39,0.6563,2.215,0.761,2.01,0.0288
N,24.17,0.5584,1.676,0.740,28.12,0.0452
N,25.32,0.2802,1.46,1.051,4.63,0.0497
N,23.18,0.5879,2.539,1.046,0.38,0.0318
N,24.34,0.2755,1.54,1.116,17.49,0.132
N,23.79,0.6977,2.173,0.657,3.91,0.0323
N,25.56,0.1715,1.203,0.996,11.00,0.027
N,25.61,0.1247,1.203,1.053,6.54,0.0593
N,22.83,0.6035,2.744,1.088,14.94,0.124
N,23.67,0.5115,2.013,0.984,5.83,0.00439
N,23.00,0.4611,0.8915,0.480,18.08,0.0293
N,26.05,0.6182,2.481,0.947,2.60,0.0246
N,25.53,0.1125,1.121,0.995,25.83,0.0664
N,24.45,0.1458,1.234,1.054,5.55,0.0429
N,28.60,0.4187,1.721,1.001,1.00,0.00497
N,20.59,0.4836,2.471,1.276,28.02,0.523
N,20.26,0.5808,1.288,0.540,49.67,0.282
N,23.14,0.5445,1.32,0.601,8.19,0.0962
N,24.40,0.5201,1.78,0.854,3.96,0.00542
N,23.90,0.4303,1.788,1.019,14.36,0.067
N,27.47,0.5409,1.934,0.888,7.99,0.00458
N,25.70,0.2871,0.9638,0.687,11.92,0.0436
N,24.97,0.5081,1.595,0.784,22.86,0.0576
N,24.98,0.4075,1.437,0.851,5.86,0.00176
N,27.04,0.3264,0.7997,0.539,5.96,0.00624
N,22.73,0.1103,1.242,1.105,25.44,0.188
N,29.40,0.6191,1.236,0.471,7.85,0.000397
N,30.91,0.7467,2.282,0.578,1.45,9.16e-05
N,28.30,0.6939,2.012,0.616,7.66,0.00223
N,26.32,0.7128,2.294,0.659,2.98,0.00838
N,26.21,0.2864,1.203,0.859,8.29,0.0226
N,24.79,0.4189,1.843,1.071,9.07,0.0727
N,30.73,0.2446,1.015,0.766,5.48,0.000122
N,24.86,0.3259,1.239,0.835,11.83,0.0342
N,26.82,0.2314,1.202,0.924,1.24,0.0105
N,27.07,0.5433,1.849,0.845,10.23,0.00405
N,25.09,0.0889,0.9962,0.908,33.62,0.0404
N,26.40,0.3684,1.603,1.012,0.88,0.0121
N,22.38,0.2110,1.398,1.103,18.41,0.153
N,26.06,0.5936,2.556,1.039,2.75,0.0347
N,24.20,0.3446,1.447,0.948,3.38,0.0209
N,23.40,0.5570,1.804,0.799,14.01,0.019
N,24.04,0.7674,1.72,0.400,2.02,0.00393
N,26.64,0.4633,1.839,0.987,2.42,0.00163
N,27.28,0.3692,1.192,0.752,2.82,0.00158
N,28.11,0.4533,1.874,1.024,6.49,0.034
N,28.48,0.2022,0.8508,0.679,1.63,0.000525
N,26.71,0.3383,0.8034,0.532,6.75,0.0245
N,22.41,0.4683,0.8637,0.459,17.76,0.00867
N,26.81,0.4733,1.863,0.981,6.07,0.00118
N,24.23,0.3180,1.623,1.107,6.60,0.13
N,25.98,0.5947,1.822,0.739,9.26,0.00042
N,19.60,0.8774,2.274,0.279,14.90,0.117
Y,18.89,0.2660,0.7765,0.570,27.84,0.0292
N,20.69,0.4637,2.208,1.184,23.75,0.321
N,24.23,0.3124,1.616,1.111,19.03,0.12
N,24.87,0.0882,0.9814,0.895,10.65,0.0623
N,26.22,0.2282,1.259,0.972,14.22,0.0342
N,24.07,0.2860,1.482,1.058,32.47,0.0737
N,25.09,0.5473,2.076,0.940,8.40,0.0144
N,23.35,0.3203,1.757,1.194,18.10,0.206
N,25.39,0.3678,1.145,0.724,4.12,0.0127
N,23.75,0.3156,1.206,0.825,2.72,0.0196
N,25.90,0.4148,0.8295,0.485,3.27,0.00936
N,24.69,0.4215,0.767,0.444,35.03,0.0775
N,28.78,0.1313,0.9679,0.841,3.69,0.0029
N,26.02,0.2433,1.218,0.922,6.76,0.0235
N,25.74,0.3810,1.298,0.804,9.54,0.0268
N,26.93,0.3749,1.574,0.984,1.11,0.0174
N,21.02,0.7567,2.537,0.617,16.92,0.116
N,24.31,0.3118,1.423,0.979,6.82,0.0759
N,25.23,0.1975,1.121,0.899,4.09,0.0116
N,28.89,0.3570,1.248,0.802,9.06,0.00253
N,23.27,0.4113,1.4,0.824,31.75,0.0154
N,23.41,0.4731,2.144,1.130,20.88,0.202
N,24.87,0.4143,1.549,0.907,3.56,0.0182
N,30.16,0.3713,1.329,0.836,4.71,0.000951
N,22.82,0.2892,1.451,1.032,34.21,0.141
N,25.60,0.2970,1.559,1.096,1.09,0.0971
N,24.19,0.4194,0.8498,0.493,23.86,0.00722
N,25.52,0.3378,1.577,1.044,5.51,0.0424
N,24.90,0.4430,2.021,1.126,6.30,0.123
N,21.75,0.3800,1.113,0.690,20.71,0.267
Y,21.81,0.5984,1.06,0.426,9.65,0.0328
N,23.61,0.3299,1.495,1.002,20.25,0.0801
N,29.66,0.3015,0.8597,0.601,1.72,0.00149
N,20.86,0.5763,3.031,1.284,11.08,0.33
N,24.86,0.4813,1.994,1.034,9.16,0.0327
N,23.57,0.1792,1.322,1.085,33.64,0.0978
N,23.17,0.3407,1.655,1.091,22.16,0.118
N,25.02,0.5479,1.845,0.834,9.33,0.0283
N,27.19,0.2207,1.178,0.918,3.62,0.00165
N,26.23,0.5490,1.917,0.865,0.52,0.00499
N,25.61,0.7612,2.608,0.623,5.51,0.0105
N,24.97,0.1565,1.084,0.914,2.96,0.0304
N,27.65,0.5534,0.6611,0.295,5.24,0.00762
N,24.11,0.1709,1.25,1.037,6.66,0.0373
N,23.24,0.4708,2.077,1.099,3.67,0.117
N,26.50,0.0948,1.167,1.056,4.10,0.0645
N,26.11,0.4528,1.437,0.787,11.02,0.0273
N,29.21,0.5866,2.064,0.853,2.26,0.000899
N,23.73,0.2024,1.409,1.124,10.54,0.125
N,26.77,0.3086,1.326,0.917,3.16,0.0283
N,26.26,0.5734,2.038,0.869,2.91,0.00486
N,24.23,0.3048,1.43,0.994,10.24,0.069
N,25.47,0.5802,2.668,1.120,3.30,0.123
N,24.34,0.6329,2.289,0.840,2.74,0.000634
N,23.21,0.6590,2.59,0.883,5.78,0.0647
N,24.13,0.3465,1.74,1.137,10.52,0.166
N,22.17,0.2791,1.764,1.272,30.08,0.329
N,21.44,0.2037,1.315,1.047,17.82,0.152
N,26.33,0.6026,2.293,0.911,4.01,0.0077
N,19.38,0.8386,2.111,0.341,12.30,0.177
N,29.35,0.6835,2.341,0.741,0.49,0.00225
N,25.84,0.2513,1.026,0.768,1.68,0.00971
N,27.21,0.2392,1.278,0.972,13.23,0.00711
N,20.95,0.7064,1.855,0.545,27.05,0.297
N,24.24,0.5191,2.127,1.023,6.85,0.0806
N,25.26,0.3954,1.601,0.968,5.34,0.00851
N,29.27,0.6464,2.555,0.904,0.51,0.000567
N,24.87,0.4751,0.8345,0.438,5.49,0.0455
N,25.70,0.6669,2.009,0.669,5.51,0.023
N,22.61,0.7500,2.656,0.664,10.03,0.0449
N,25.30,0.1731,1.393,1.152,11.96,0.159
N,22.25,0.4197,1.824,1.058,4.07,0.0533
N,23.50,0.5925,2.736,1.115,14.06,0.112
N,25.13,0.1195,1.16,1.022,11.05,0.0443
N,20.70,0.8822,2.35,0.277,9.78,0.105
N,25.74,0.4671,1.368,0.729,25.46,0.0105
N,27.09,0.2580,1.398,1.037,1.87,0.0316
N,22.30,0.5800,2.118,0.890,6.94,0.038
N,24.49,0.0408,1.083,1.038,37.10,0.039
N,26.63,0.2127,0.8388,0.660,5.97,0.0115
N,25.43,0.5613,1.742,0.764,19.78,0.00832
N,27.39,0.0924,1.107,1.005,19.86,0.00633
N,22.64,0.7142,1.7,0.486,16.49,0.0548
Y,21.59,0.4115,1.496,0.880,7.62,0.00137
N,23.61,0.2274,1.593,1.231,9.25,0.248
N,27.30,0.6659,1.632,0.545,5.60,0.00194
N,24.55,0.0708,1.135,1.055,4.77,0.103
N,25.65,0.1064,0.9768,0.873,5.74,0.0758
N,21.09,0.4633,2.165,1.162,17.25,0.22
N,26.13,0.5565,2.012,0.892,6.10,0.0255
N,25.22,0.5234,2.021,0.963,3.73,0.0218
N,22.73,0.5608,2.905,1.276,16.30,0.293
N,21.94,0.2399,1.11,0.843,16.10,0.121
N,21.34,0.6660,2.897,0.968,14.32,0.0905
N,21.82,0.5499,2.386,1.074,6.88,0.0872
N,21.70,0.6525,1.625,0.565,5.86,0.0881
N,27.43,0.5882,2.087,0.859,1.75,0.00417
N,26.93,0.2600,0.8258,0.611,12.67,0.0295
N,21.10,0.6725,2.216,0.726,17.96,0.12
N,28.64,0.3292,1.041,0.699,0.23,0.00116
